date,all_collisions,injury_collisions,fatal_collisions,tire_failure_inadequate,oversized_vehicle,following_too_closely,unspecified,shoulders_defective_improper,physical_disability,other_electronic_device,brakes_defective,driver_inexperience,backing_unsafely,prescription_medication,view_obstructed_limited,other_vehicular,other_lighting_defects,reaction_to_other_uninvolved_vehicle,traffic_control_disregarded,fell_asleep,tow_hitch_defective,traffic_control_device_improper_non_working,outside_car_distraction,lane_marking_improper_inadequate,illness,glare,pavement_defective,cell_phone_hand_held,headlights_defective,turning_improperly,failure_to_keep_right,aggressive_driving_road_rage,passenger_distraction,pavement_slippery,drugs_illegal,cell_phone_hands_free,fatigued_drowsy,steering_failure,unsafe_speed,unsafe_lane_changing,alcohol_involvement,lost_consciousness,passing_or_lane_usage_improper,pedestrian_bicyclist_other_pedestrian_error_confusion,animals_action,failure_to_yield_right_of_way,accelerator_defective,driver_inattention_distraction,windshield_inadequate,obstruction_debris
2012-09-26,404,104,0,1,2,0,593,0,10,0,3,5,10,9,1,8,0,1,6,0,0,0,8,0,0,1,0,0,1,7,0,2,3,4,0,0,21,0,1,0,2,19,0,0,0,17,0,48,0,0
2012-09-27,619,159,1,0,1,0,936,0,4,2,1,9,18,18,1,27,0,2,9,2,0,1,5,0,2,0,0,0,0,19,1,3,7,10,3,0,36,0,0,0,5,12,0,0,0,32,0,61,0,1
2012-09-28,703,188,2,1,6,1,1038,0,9,2,1,7,8,14,3,30,0,2,10,3,0,0,9,2,1,0,0,0,0,9,0,2,3,26,1,0,46,0,0,0,6,12,0,0,1,41,0,89,1,2
2012-09-29,485,134,1,0,0,2,739,0,6,2,0,7,14,8,5,16,0,0,10,0,0,0,13,0,1,0,0,0,0,8,1,4,0,0,0,0,29,0,0,0,1,15,0,0,0,27,0,58,0,4
2012-09-30,449,145,2,0,0,0,701,0,4,2,1,10,14,8,2,18,0,0,8,1,0,0,8,1,0,0,0,1,0,9,0,2,3,0,0,0,32,2,1,0,3,10,0,0,0,15,0,55,0,3
2012-10-01,555,162,1,1,3,1,810,0,7,1,0,11,9,10,1,29,0,3,5,1,0,0,14,0,3,2,0,0,0,17,1,5,2,0,0,0,37,0,0,0,1,8,1,0,0,20,0,86,0,2
2012-10-02,592,191,0,0,5,0,854,0,6,2,2,8,13,7,5,30,0,1,9,0,0,0,6,0,1,0,0,0,0,17,1,3,4,29,1,0,49,0,1,0,1,9,0,0,1,26,0,69,0,2
2012-10-03,502,120,1,0,4,1,751,0,6,2,2,4,13,11,2,24,0,0,7,0,0,0,9,0,3,0,1,0,0,13,1,3,2,10,1,0,27,0,0,0,2,20,0,0,0,23,1,55,0,2
2012-10-04,554,120,0,0,5,1,802,0,12,1,2,8,17,15,2,25,0,0,5,1,0,0,10,0,2,0,0,0,0,13,2,2,5,2,0,0,28,0,1,0,4,19,0,0,0,43,0,65,0,3
2012-10-05,693,189,0,0,9,1,1032,0,5,0,2,16,15,15,3,21,0,3,9,1,0,1,8,0,0,1,0,0,0,19,0,7,4,1,1,0,44,0,1,0,7,17,0,0,0,29,0,110,0,1
