DATE,NUMBER_OF_PERSONS_INJURED,NUMBER_OF_PERSONS_KILLED,NUMBER_OF_PEDESTRIANS_INJURED,NUMBER_OF_PEDESTRIANS_KILLED,NUMBER_OF_CYCLIST_INJURED,NUMBER_OF_CYCLIST_KILLED,NUMBER_OF_MOTORIST_INJURED,NUMBER_OF_MOTORIST_KILLED
2014-02-10,143,0,50,0,9,0,84,0
2014-02-09,87,1,11,0,2,0,74,1
2014-02-08,74,0,9,0,5,0,60,0
2014-02-07,116,1,36,1,2,0,78,0
2014-02-06,92,0,22,0,3,0,67,0
2014-02-05,53,0,18,0,1,0,34,0
2014-02-04,130,0,29,0,4,0,97,0
2014-02-03,159,2,47,2,6,0,106,0
2014-02-02,114,1,45,0,6,1,63,0
2014-02-01,150,0,44,0,8,0,98,0
2014-01-31,106,2,30,0,4,0,72,2
2014-01-30,157,0,51,0,4,0,102,0
2014-01-29,167,0,50,0,5,0,112,0
2014-01-28,125,0,37,0,2,0,86,0
2014-01-27,104,0,28,0,5,0,71,0
2014-01-26,129,1,23,1,1,0,105,0
2014-01-25,110,1,21,1,3,0,86,0
2014-01-24,166,0,59,0,4,0,103,0
2014-01-23,113,0,37,0,2,0,74,0
2014-01-22,76,0,17,0,1,0,58,0
2014-01-21,168,0,39,0,2,0,127,0
2014-01-20,72,1,16,0,5,0,51,1
2014-01-19,134,2,14,1,6,1,114,0
2014-01-18,130,2,25,2,3,0,102,0
2014-01-17,139,1,41,0,7,0,91,1
2014-01-16,141,0,45,0,7,0,89,0
2014-01-15,118,0,32,0,8,0,78,0
2014-01-14,186,0,70,0,7,0,109,0
2014-01-13,164,0,30,0,8,0,126,0
2014-01-12,96,1,25,0,4,0,67,1
2014-01-11,157,2,63,2,3,0,91,0
2014-01-10,191,3,59,2,5,0,127,1
2014-01-09,100,0,44,0,2,0,54,0
2014-01-08,155,0,43,0,4,0,108,0
2014-01-07,119,0,36,0,3,0,80,0
2014-01-06,111,1,34,1,8,0,69,0
2014-01-05,63,1,14,1,3,0,46,0
2014-01-04,91,0,28,0,1,0,62,0
2014-01-03,46,0,9,0,1,0,36,0
2014-01-02,121,3,36,2,0,0,85,1
2014-01-01,165,2,24,0,2,0,139,2
2013-12-31,122,1,28,0,2,0,92,1
2013-12-30,117,1,28,1,8,0,81,0
2013-12-29,107,1,27,1,6,0,74,0
2013-12-28,121,1,22,1,6,0,93,0
2013-12-27,106,1,29,1,4,0,73,0
2013-12-26,100,0,28,0,4,0,68,0
2013-12-25,80,1,8,1,3,0,69,0
2013-12-24,135,0,39,0,9,0,87,0
2013-12-23,155,1,61,1,8,0,86,0
2013-12-22,168,1,27,1,8,0,133,0
2013-12-21,168,5,43,3,4,0,121,2
2013-12-20,164,2,47,2,4,0,113,0
2013-12-19,153,0,42,0,8,0,103,0
2013-12-18,123,0,46,0,5,0,72,0
2013-12-17,144,0,25,0,6,0,113,0
2013-12-16,133,0,36,0,6,0,91,0
2013-12-15,102,0,29,0,2,0,71,0
2013-12-14,140,2,36,0,1,0,103,2
2013-12-13,161,0,40,0,8,0,113,0
2013-12-12,142,1,44,1,4,0,94,0
2013-12-11,166,0,48,0,5,0,113,0
2013-12-10,135,1,52,0,5,0,78,1
2013-12-09,144,2,36,2,6,0,102,0
2013-12-08,134,0,41,0,1,0,92,0
2013-12-07,166,1,30,1,13,0,123,0
2013-12-06,202,1,90,1,9,0,103,0
2013-12-05,157,0,53,0,4,0,100,0
2013-12-04,142,1,38,0,9,0,95,1
2013-12-03,135,2,37,0,8,0,90,2
2013-12-02,148,0,32,0,4,0,112,0
2013-12-01,115,0,25,0,5,0,85,0
2013-11-30,125,3,16,1,4,0,105,2
2013-11-29,86,1,20,1,2,0,64,0
2013-11-28,124,0,17,0,4,0,103,0
2013-11-27,214,4,77,3,5,1,132,0
2013-11-26,243,3,103,3,8,0,132,0
2013-11-25,165,1,41,1,9,0,115,0
2013-11-24,124,2,29,2,3,0,92,0
2013-11-23,185,0,37,0,11,0,137,0
2013-11-22,156,3,38,3,10,0,108,0
2013-11-21,152,0,31,0,13,0,108,0
2013-11-20,147,0,34,0,9,0,104,0
2013-11-19,155,0,49,0,15,0,91,0
2013-11-18,169,1,36,0,13,1,120,0
2013-11-17,187,0,25,0,8,0,154,0
2013-11-16,170,0,39,0,7,0,124,0
2013-11-15,182,2,35,1,14,0,133,1
2013-11-14,161,1,54,1,7,0,100,0
2013-11-13,167,1,37,1,13,0,117,0
2013-11-12,151,1,33,1,8,0,110,0
2013-11-11,114,3,29,3,3,0,82,0
2013-11-10,103,1,23,0,7,0,73,1
2013-11-09,148,3,29,0,10,0,109,3
2013-11-08,155,1,35,1,20,0,100,0
2013-11-07,151,0,38,0,7,0,106,0
2013-11-06,161,1,45,1,13,0,103,0
2013-11-05,136,2,28,1,10,0,98,1
2013-11-04,158,0,40,0,13,0,105,0
2013-11-03,138,0,12,0,8,0,118,0
2013-11-02,168,2,30,2,13,0,125,0
2013-11-01,209,0,46,0,14,0,149,0
2013-10-31,155,1,49,0,9,0,97,1
2013-10-30,155,1,28,0,18,1,109,0
2013-10-29,156,0,34,0,16,0,106,0
2013-10-28,176,2,42,2,9,0,125,0
2013-10-27,149,0,17,0,10,0,122,0
2013-10-26,236,0,47,0,11,0,178,0
2013-10-25,142,1,35,1,3,0,104,0
2013-10-24,170,0,34,0,14,0,122,0
2013-10-23,156,0,32,0,15,0,109,0
2013-10-22,152,1,35,0,17,0,100,1
2013-10-21,191,2,42,2,21,0,128,0
2013-10-20,142,2,28,0,17,1,97,1
2013-10-19,153,0,24,0,12,0,117,0
2013-10-18,192,1,58,1,17,0,117,0
2013-10-17,123,1,22,0,14,0,87,1
2013-10-16,134,0,32,0,12,0,90,0
2013-10-15,184,0,47,0,15,0,122,0
2013-10-14,141,0,26,0,19,0,96,0
2013-10-13,146,1,23,0,9,0,114,1
2013-10-12,158,0,33,0,20,0,105,0
2013-10-11,162,3,39,2,15,0,108,1
2013-10-10,138,1,42,1,8,0,88,0
2013-10-09,140,0,27,0,13,0,100,0
2013-10-08,124,1,33,1,14,0,77,0
2013-10-07,152,0,33,0,11,0,108,0
2013-10-06,124,1,27,1,9,0,88,0
2013-10-05,128,0,31,0,11,0,86,0
2013-10-04,168,2,27,2,21,0,120,0
2013-10-03,150,0,37,0,14,0,99,0
2013-10-02,190,1,44,1,16,0,130,0
2013-10-01,155,1,38,1,19,0,98,0
2013-09-30,191,0,42,0,24,0,125,0
2013-09-29,153,0,24,0,11,0,118,0
2013-09-28,172,2,20,1,16,0,136,1
2013-09-27,147,2,33,2,17,0,97,0
